TT,H_DNG_CD,SPOP,SIDO_NM,SGG_NM,ADMI_NM
20,11200590,14569.38,서울특별시,성동구,금호1가동
20,11200615,21857.2,서울특별시,성동구,금호2.3가동
20,11200620,15251.55,서울특별시,성동구,금호4가동
20,11200645,21495.55,서울특별시,성동구,옥수동
20,11200650,18481.79,서울특별시,성동구,성수1가1동
20,11200660,22667.28,서울특별시,성동구,성수1가2동
20,11200670,18368.94,서울특별시,성동구,성수2가1동
20,11200690,29901.25,서울특별시,성동구,성수2가3동
20,11200720,10553.58,서울특별시,성동구,송정동
20,11200790,15512.38,서울특별시,성동구,용답동
20,11215710,38639.66,서울특별시,광진구,화양동
20,11215730,19496.43,서울특별시,광진구,군자동
20,11215740,16185.6,서울특별시,광진구,중곡1동
20,11215750,19887.65,서울특별시,광진구,중곡2동
20,11215760,15026.37,서울특별시,광진구,중곡3동
20,11215770,31082.05,서울특별시,광진구,중곡4동
20,11215780,14288.37,서울특별시,광진구,능동
20,11215810,37612.53,서울특별시,광진구,광장동
20,11215820,21686.85,서울특별시,광진구,자양1동
20,11215830,26030.09,서울특별시,광진구,자양2동
20,11215840,30864.61,서울특별시,광진구,자양3동
20,11215847,24559.72,서울특별시,광진구,자양4동
20,11215850,22212.35,서울특별시,광진구,구의1동
20,11215860,26077.96,서울특별시,광진구,구의2동
20,11215870,32593.57,서울특별시,광진구,구의3동
20,11230536,41584.61,서울특별시,동대문구,용신동
20,11230545,24070.28,서울특별시,동대문구,제기동
20,11230560,39373.39,서울특별시,동대문구,전농1동
20,11230570,19548.26,서울특별시,동대문구,전농2동
20,11230600,25372.62,서울특별시,동대문구,답십리1동
20,11230610,30217.18,서울특별시,동대문구,답십리2동
20,11230650,34167.2,서울특별시,동대문구,장안1동
20,11230660,35069.3,서울특별시,동대문구,장안2동
20,11230705,21976.2,서울특별시,동대문구,청량리동
20,11230710,15603.09,서울특별시,동대문구,회기동
20,11230720,15130.92,서울특별시,동대문구,휘경1동
20,11230730,23232.72,서울특별시,동대문구,휘경2동
20,11230740,24573.38,서울특별시,동대문구,이문1동
20,11230750,19028.85,서울특별시,동대문구,이문2동
20,11260520,25127.93,서울특별시,중랑구,면목2동
20,11260540,17300.84,서울특별시,중랑구,면목4동
20,11260550,13140.62,서울특별시,중랑구,면목5동
20,11260565,36421.97,서울특별시,중랑구,면목본동
20,11260570,21271.73,서울특별시,중랑구,면목7동
20,11260575,27169.58,서울특별시,중랑구,면목3.8동
20,11260580,20128.26,서울특별시,중랑구,상봉1동
20,11260590,28423.32,서울특별시,중랑구,상봉2동
20,11260600,18302.18,서울특별시,중랑구,중화1동
20,11260610,23391.1,서울특별시,중랑구,중화2동
20,11260620,30817.07,서울특별시,중랑구,묵1동
20,11260630,23291.85,서울특별시,중랑구,묵2동
20,11260655,41979.7,서울특별시,중랑구,망우본동
20,11260660,11677.8,서울특별시,중랑구,망우3동
20,11260680,39270.14,서울특별시,중랑구,신내1동
20,11260690,18487.42,서울특별시,중랑구,신내2동
20,11290525,21398.12,서울특별시,성북구,성북동
20,11290555,26462.9,서울특별시,성북구,삼선동
20,11290575,25242.66,서울특별시,성북구,동선동
20,11290580,13331.42,서울특별시,성북구,돈암1동
20,11290590,9692.33,서울특별시,성북구,돈암2동
20,11290600,25141.24,서울특별시,성북구,안암동
20,11290610,18186.53,서울특별시,성북구,보문동
20,11290620,14400.4,서울특별시,성북구,정릉1동
20,11290630,20418.49,서울특별시,성북구,정릉2동
20,11290640,15391.3,서울특별시,성북구,정릉3동
20,11290650,22861.14,서울특별시,성북구,정릉4동
20,11290660,34238.36,서울특별시,성북구,길음1동
20,11290685,21455.26,서울특별시,성북구,길음2동
20,11290705,38884.91,서울특별시,성북구,종암동
20,11290715,25592.15,서울특별시,성북구,월곡1동
20,11290725,23632.97,서울특별시,성북구,월곡2동
20,11290760,23841.0,서울특별시,성북구,장위1동
20,11290770,13126.66,서울특별시,성북구,장위2동
20,11290780,13159.94,서울특별시,성북구,장위3동
20,11290810,30609.33,서울특별시,성북구,석관동
20,11305534,23828.44,서울특별시,강북구,삼양동
20,11305535,21412.76,서울특별시,강북구,미아동
20,11305545,34710.53,서울특별시,강북구,송중동
20,11305555,26721.18,서울특별시,강북구,송천동
20,11305575,24775.55,서울특별시,강북구,삼각산동
20,11305595,21344.07,서울특별시,강북구,번1동
20,11305603,15380.49,서울특별시,강북구,번2동
20,11305608,18251.55,서울특별시,강북구,번3동
20,11305615,17319.99,서울특별시,강북구,수유1동
20,11305625,21658.82,서울특별시,강북구,수유2동
20,11305635,29964.59,서울특별시,강북구,수유3동
20,11305645,23224.8,서울특별시,강북구,우이동
20,11305660,27683.82,서울특별시,강북구,인수동
20,11320511,24509.56,서울특별시,도봉구,창1동
20,11320512,29854.58,서울특별시,도봉구,창2동
20,11320513,11419.82,서울특별시,도봉구,창3동
20,11320514,30745.64,서울특별시,도봉구,창4동
20,11320515,23817.53,서울특별시,도봉구,창5동
20,11320521,22923.82,서울특별시,도봉구,도봉1동
20,11320522,26297.6,서울특별시,도봉구,도봉2동
20,11320660,18562.73,서울특별시,도봉구,쌍문1동
20,11320670,17549.43,서울특별시,도봉구,쌍문2동
20,11320680,15361.13,서울특별시,도봉구,쌍문3동
20,11320681,21015.89,서울특별시,도봉구,쌍문4동
20,11320690,29905.61,서울특별시,도봉구,방학1동
20,11320700,17727.49,서울특별시,도봉구,방학2동
20,11320710,24458.13,서울특별시,도봉구,방학3동
20,11350560,23474.99,서울특별시,노원구,월계1동
20,11350570,25102.11,서울특별시,노원구,월계2동
20,11350580,32356.49,서울특별시,노원구,월계3동
20,11350595,40137.73,서울특별시,노원구,공릉1동
20,11350600,47831.99,서울특별시,노원구,공릉2동
20,11350611,28621.13,서울특별시,노원구,하계1동
20,11350612,14465.45,서울특별시,노원구,하계2동
20,11350619,27053.14,서울특별시,노원구,중계본동
20,11350621,27240.36,서울특별시,노원구,중계1동
20,11350624,19270.85,서울특별시,노원구,중계4동
20,11350625,31599.8,서울특별시,노원구,중계2.3동
20,11350630,39312.78,서울특별시,노원구,상계1동
20,11350640,30880.17,서울특별시,노원구,상계2동
20,11350665,27344.58,서울특별시,노원구,상계3.4동
20,11350670,17464.28,서울특별시,노원구,상계5동
20,11350695,39764.85,서울특별시,노원구,상계6.7동
20,11350700,20980.87,서울특별시,노원구,상계8동
20,11350710,19445.58,서울특별시,노원구,상계9동
20,11350720,16988.22,서울특별시,노원구,상계10동
20,11380510,39908.06,서울특별시,은평구,녹번동
20,11380520,33707.69,서울특별시,은평구,불광1동
20,11380530,28021.12,서울특별시,은평구,불광2동
20,11380551,21617.41,서울특별시,은평구,갈현1동
20,11380552,26089.21,서울특별시,은평구,갈현2동
20,11380560,30866.55,서울특별시,은평구,구산동
